,DateTime,Temperature (Celcius),Total Precipitation,Public_Holiday,School_Holiday,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Spectacles,Wash_Item,Washer_No,Dryer_No,Times_Of_Day,Age_Group,Day,Total Customers,Rain_Condition
16,10/20/2015 10:49,32.93,0,No,No,malay,female,thin,55,yes,toddler,big,Primary,casual,Others,long sleeve,Others,long,no,clothes,4,7,Morning,50-59,Tuesday,60,None
17,10/20/2015 10:57,32.93,0,No,No,malay,male,fat,37,yes,toddler,big,Primary,casual,Others,short sleeve,Others,long,no,clothes,5,9,Morning,30-39,Tuesday,60,None
18,10/20/2015 11:13,32.93,0,No,No,malay,female,fat,55,yes,nokids,big,Primary,traditional,Secondary,long sleeve,Secondary,long,yes,clothes,6,7,Morning,50-59,Tuesday,60,None
19,10/20/2015 11:19,32.93,0,No,No,malay,female,moderate,50,yes,young,big,Others,casual,Secondary,long sleeve,Others,long,no,clothes,5,10,Morning,50-59,Tuesday,60,None
20,10/20/2015 11:27,32.93,0,No,No,indian,male,fat,34,no,nokids,big,Primary,casual,Primary,short sleeve,Others,long,no,clothes,3,10,Morning,30-39,Tuesday,60,None
21,10/20/2015 11:27,32.93,0,No,No,indian,male,moderate,53,yes,baby,big,Primary,formal,Primary,long sleeve,BW,long,no,clothes,5,9,Morning,50-59,Tuesday,60,None
22,10/20/2015 11:28,32.93,0,No,No,malay,female,fat,38,yes,young,big,Primary,casual,Primary,short sleeve,Primary,long,no,blankets,3,7,Morning,30-39,Tuesday,60,None
23,10/20/2015 13:36,32.93,0,No,No,chinese,female,thin,29,no,nokids,small,BW,casual,Others,short sleeve,BW,long,yes,blankets,3,7,Afternoon,30-39,Tuesday,60,None
24,10/20/2015 12:10,32.93,0,No,No,chinese,female,moderate,44,no,nokids,big,BW,casual,BW,short sleeve,BW,long,no,clothes,5,7,Afternoon,40-49,Tuesday,60,None
25,10/20/2015 13:44,32.93,0,No,No,chinese,female,moderate,42,no,nokids,small,Secondary,casual,BW,short sleeve,BW,long,no,clothes,3,8,Afternoon,40-49,Tuesday,60,None
26,10/20/2015 13:47,32.93,0,No,No,chinese,male,thin,41,no,nokids,big,BW,casual,BW,short sleeve,Others,long,no,clothes,6,9,Afternoon,40-49,Tuesday,60,None
27,10/20/2015 14:39,32.93,0,No,No,chinese,male,thin,36,yes,young,big,Primary,casual,Others,short sleeve,BW,short,yes,blankets,5,9,Afternoon,30-39,Tuesday,60,None
28,10/20/2015 14:54,32.93,0,No,No,indian,male,fat,39,no,nokids,big,Primary,casual,BW,short sleeve,Primary,long,no,clothes,4,10,Afternoon,40-49,Tuesday,60,None
29,10/20/2015 14:54,32.93,0,No,No,indian,male,thin,42,no,nokids,big,Primary,casual,BW,short sleeve,Primary,long,no,clothes,6,9,Afternoon,40-49,Tuesday,60,None
30,10/20/2015 15:26,32.93,0,No,No,malay,female,fat,32,no,nokids,big,Secondary,casual,Secondary,long sleeve,BW,long,no,clothes,3,7,Afternoon,30-39,Tuesday,60,None
31,10/20/2015 15:45,32.93,0,No,No,chinese,male,thin,40,yes,toddler,big,Primary,casual,BW,short sleeve,BW,short,yes,clothes,5,9,Afternoon,40-49,Tuesday,60,None
32,10/20/2015 15:52,32.93,0,No,No,foreigner ,male,moderate,39,no,nokids,big,Primary,casual,BW,short sleeve,BW,long,no,clothes,3,8,Afternoon,40-49,Tuesday,60,None
33,10/20/2015 16:01,32.93,0,No,No,malay,female,fat,55,no,nokids,big,Secondary,casual,Secondary,long sleeve,BW,long,no,clothes,3,7,Evening,50-59,Tuesday,60,None
34,10/20/2015 16:34,32.93,0,No,No,chinese,male,thin,46,no,nokids,big,Primary,casual,Secondary,short sleeve,BW,long,no,clothes,4,7,Evening,40-49,Tuesday,60,None
35,10/20/2015 18:14,32.93,0,No,No,malay,female,thin,46,no,nokids,small,BW,casual,BW,short sleeve,Others,long,no,clothes,6,10,Evening,40-49,Tuesday,60,None
36,10/20/2015 18:34,32.93,0,No,No,malay,male,fat,35,no,nokids,big,Primary,formal,BW,short sleeve,Others,long,yes,clothes,4,7,Evening,30-39,Tuesday,60,None
37,10/20/2015 18:37,32.93,0,No,No,chinese,female,thin,35,no,nokids,small,Secondary,casual,Others,short sleeve,Others,short,no,clothes,5,9,Evening,30-39,Tuesday,60,None
38,10/20/2015 18:48,32.93,0,No,No,malay,female,thin,41,no,nokids,big,Primary,formal,Secondary,long sleeve,BW,long,no,clothes,5,10,Evening,40-49,Tuesday,60,None
39,10/20/2015 18:57,32.93,0,No,No,malay,female,fat,31,no,nokids,big,Primary,traditional,Secondary,long sleeve,Secondary,long,yes,clothes,4,9,Evening,30-39,Tuesday,60,None
40,10/20/2015 18:57,32.93,0,No,No,malay,female,fat,34,no,nokids,big,Primary,traditional,Others,long sleeve,Others,long,no,clothes,5,9,Evening,30-39,Tuesday,60,None
41,10/20/2015 20:09,32.93,0,No,No,malay,female,fat,36,no,nokids,big,Primary,casual,Others,long sleeve,BW,long,no,blankets,4,8,Night,30-39,Tuesday,60,None
42,10/20/2015 20:21,32.93,0,No,No,malay,male,thin,33,no,nokids,big,Primary,casual,BW,short sleeve,Primary,long,yes,clothes,4,10,Night,30-39,Tuesday,60,None
43,10/20/2015 20:21,32.93,0,No,No,malay,female,fat,51,no,nokids,big,Primary,casual,Primary,short sleeve,Primary,long,no,clothes,6,9,Night,50-59,Tuesday,60,None
44,10/20/2015 20:21,32.93,0,No,No,foreigner ,female,moderate,46,no,nokids,big,Primary,formal,Others,long sleeve,BW,long,no,blankets,3,7,Night,40-49,Tuesday,60,None
45,10/20/2015 20:32,32.93,0,No,No,malay,female,moderate,51,no,nokids,big,Primary,casual,Primary,long sleeve,Primary,long,no,clothes,6,8,Night,50-59,Tuesday,60,None
46,10/20/2015 20:44,32.93,0,No,No,indian,male,fat,48,no,nokids,big,Primary,casual,Primary,short sleeve,BW,short,no,clothes,5,7,Night,40-49,Tuesday,60,None
47,10/20/2015 20:48,32.93,0,No,No,malay,female,fat,28,no,nokids,big,Primary,casual,Primary,long sleeve,Others,long,yes,clothes,3,9,Night,20-29,Tuesday,60,None
48,10/20/2015 21:39,32.93,0,No,No,indian,male,moderate,49,no,nokids,big,Primary,casual,BW,short sleeve,Primary,short,no,clothes,4,8,Night,50-59,Tuesday,60,None
49,10/20/2015 21:44,32.93,0,No,No,indian,male,fat,48,no,nokids,big,Primary,casual,BW,short sleeve,Primary,short,no,clothes,5,10,Night,40-49,Tuesday,60,None
50,10/20/2015 21:05,32.93,0,No,No,malay,female,fat,42,yes,toddler,big,Secondary,casual,BW,short sleeve,BW,long,no,blankets,5,9,Night,40-49,Tuesday,60,None
51,10/20/2015 22:04,32.93,0,No,No,indian,female,fat,42,no,nokids,small,Primary,traditional,Primary,short sleeve,BW,long,no,clothes,5,7,Night,40-49,Tuesday,60,None
52,10/20/2015 22:04,32.93,0,No,No,foreigner ,male,moderate,54,no,nokids,big,BW,casual,BW,short sleeve,BW,long,no,clothes,3,9,Night,50-59,Tuesday,60,None
53,10/20/2015 22:10,32.93,0,No,No,foreigner ,male,thin,38,no,nokids,big,Primary,casual,BW,short sleeve,BW,long,no,clothes,3,8,Night,30-39,Tuesday,60,None
54,10/20/2015 22:12,32.93,0,No,No,chinese,female,thin,39,no,nokids,big,Primary,casual,Primary,long sleeve,Primary,short,no,clothes,6,7,Night,40-49,Tuesday,60,None
55,10/20/2015 22:18,32.93,0,No,No,malay,male,thin,53,yes,young,big,Primary,formal,Others,long sleeve,Primary,long,no,clothes,6,8,Night,50-59,Tuesday,60,None
56,10/20/2015 22:20,32.93,0,No,No,malay,male,thin,29,yes,toddler,big,Primary,casual,BW,short sleeve,Primary,long,no,clothes,3,10,Night,30-39,Tuesday,60,None
57,10/20/2015 22:24,32.93,0,No,No,indian,male,fat,43,no,nokids,big,Primary,casual,BW,short sleeve,BW,long,no,clothes,6,10,Night,40-49,Tuesday,60,None
58,10/20/2015 22:24,32.93,0,No,No,indian,female,fat,29,yes,young,small,Primary,traditional,Others,short sleeve,Primary,long,no,clothes,5,8,Night,30-39,Tuesday,60,None
59,10/20/2015 22:37,32.93,0,No,No,malay,female,thin,50,yes,toddler,big,BW,casual,Others,short sleeve,Others,long,no,clothes,3,8,Night,50-59,Tuesday,60,None
60,10/20/2015 22:52,32.93,0,No,No,malay,female,thin,51,no,nokids,small,BW,casual,BW,short sleeve,Others,long,no,clothes,3,9,Night,50-59,Tuesday,60,None
61,10/20/2015 22:54,32.93,0,No,No,malay,male,thin,28,yes,toddler,big,Primary,casual,BW,short sleeve,Primary,long,no,clothes,4,10,Night,20-29,Tuesday,60,None
62,10/20/2015 22:59,32.93,0,No,No,indian,female,moderate,55,yes,baby,big,Primary,casual,Primary,short sleeve,Others,short,no,clothes,3,9,Night,50-59,Tuesday,60,None
63,10/20/2015 23:08,32.93,0,No,No,indian,male,thin,33,no,nokids,small,Primary,casual,BW,short sleeve,BW,long,no,blankets,5,10,Night,30-39,Tuesday,60,None
64,10/20/2015 23:08,32.93,0,No,No,indian,male,moderate,49,no,nokids,small,Primary,formal,Primary,long sleeve,BW,long,yes,clothes,6,10,Night,50-59,Tuesday,60,None
65,10/20/2015 23:15,32.93,0,No,No,malay,male,thin,42,no,nokids,small,Primary,casual,Others,long sleeve,Primary,long,no,blankets,4,8,Night,40-49,Tuesday,60,None
66,10/20/2015 0:04,32.93,0,No,No,malay,female,moderate,45,no,nokids,big,Primary,formal,Primary,long sleeve,BW,long,no,blankets,3,7,Midnight,40-49,Tuesday,60,None
67,10/21/2015 2:17,32.93,0,No,No,indian,male,thin,30,no,nokids,small,BW,casual,BW,short sleeve,BW,short,no,clothes,6,7,Midnight,30-39,Wednesday,25,None
68,10/21/2015 7:35,32.93,0,No,No,indian,female,fat,44,no,nokids,small,Primary,casual,Primary,short sleeve,BW,short,no,clothes,4,8,Dawn,40-49,Wednesday,25,None
69,10/21/2015 7:58,32.93,0,No,No,chinese,female,moderate,54,no,nokids,big,Primary,casual,Primary,short sleeve,Others,long,no,clothes,3,7,Dawn,50-59,Wednesday,25,None
70,10/21/2015 11:21,32.93,0,No,No,chinese,female,thin,43,no,nokids,big,Primary,casual,Others,short sleeve,BW,long,no,clothes,3,8,Morning,40-49,Wednesday,25,None
71,10/21/2015 11:56,32.93,0,No,No,malay,male,thin,32,no,nokids,big,Primary,casual,Others,short sleeve,Primary,long,yes,clothes,4,8,Morning,30-39,Wednesday,25,None
72,10/21/2015 11:56,32.93,0,No,No,malay,male,moderate,29,no,nokids,big,Primary,casual,Others,short sleeve,Others,long,no,clothes,5,8,Morning,30-39,Wednesday,25,None
73,10/21/2015 12:01,32.93,0,No,No,chinese,male,thin,40,no,nokids,small,Primary,casual,Primary,short sleeve,Primary,long,yes,clothes,3,9,Afternoon,40-49,Wednesday,25,None
74,10/21/2015 12:01,32.93,0,No,No,chinese,female,thin,31,no,nokids,big,BW,casual,BW,short sleeve,Others,long,no,clothes,5,8,Afternoon,30-39,Wednesday,25,None
75,10/21/2015 12:32,32.93,0,No,No,malay,female,thin,31,no,nokids,big,Primary,casual,Primary,long sleeve,BW,long,no,clothes,5,10,Afternoon,30-39,Wednesday,25,None
76,10/21/2015 12:44,32.93,0,No,No,chinese,male,thin,54,no,nokids,small,Primary,casual,Primary,short sleeve,BW,long,no,clothes,3,8,Afternoon,50-59,Wednesday,25,None
77,10/21/2015 13:04,32.93,0,No,No,malay,female,thin,42.18272841,no,nokids,big,Primary,casual,BW,long sleeve,BW,long,no,clothes,6,10,Afternoon,40-49,Wednesday,25,None
78,10/21/2015 13:04,32.93,0,No,No,malay,male,moderate,54,no,nokids,small,Primary,casual,Secondary,short sleeve,Primary,long,no,clothes,5,7,Afternoon,50-59,Wednesday,25,None
79,10/21/2015 14:18,32.93,0,No,No,chinese,female,fat,45,no,nokids,big,Primary,casual,Others,long sleeve,BW,long,yes,clothes,3,10,Afternoon,40-49,Wednesday,25,None
80,10/21/2015 14:30,32.93,0,No,No,malay,male,fat,38,yes,toddler,big,BW,casual,Others,short sleeve,BW,long,no,clothes,3,7,Afternoon,30-39,Wednesday,25,None
81,10/21/2015 14:32,32.93,0,No,No,malay,female,moderate,48,yes,young,big,Primary,traditional,Secondary,long sleeve,BW,long,yes,clothes,5,9,Afternoon,40-49,Wednesday,25,None
82,10/21/2015 14:51,32.93,0,No,No,chinese,female,thin,42.18272841,no,nokids,big,Primary,casual,Primary,short sleeve,Others,short,no,clothes,3,9,Afternoon,40-49,Wednesday,25,None
83,10/21/2015 15:05,32.93,0,No,No,malay,female,moderate,42,yes,toddler,big,Primary,traditional,Secondary,long sleeve,Secondary,long,no,blankets,4,8,Afternoon,40-49,Wednesday,25,None
84,10/21/2015 16:53,32.93,0,No,No,chinese,male,moderate,53,no,nokids,small,Primary,casual,Primary,short sleeve,Primary,short,no,clothes,4,9,Evening,50-59,Wednesday,25,None
85,10/21/2015 19:35,32.93,0,No,No,malay,female,fat,40,no,nokids,big,Primary,traditional,Others,long sleeve,Others,long,no,clothes,6,8,Evening,40-49,Wednesday,25,None
86,10/21/2015 19:35,32.93,0,No,No,malay,female,moderate,53,no,nokids,big,BW,traditional,Secondary,long sleeve,Secondary,long,yes,clothes,4,7,Evening,50-59,Wednesday,25,None
87,10/21/2015 19:35,32.93,0,No,No,indian,male,fat,49,no,nokids,big,Primary,casual,BW,short sleeve,Primary,long,no,clothes,3,7,Evening,50-59,Wednesday,25,None
88,10/21/2015 21:13,32.93,0,No,No,malay,male,thin,52,no,nokids,big,BW,traditional,Others,long sleeve,Others,long,no,clothes,6,10,Night,50-59,Wednesday,25,None
89,10/21/2015 21:13,32.93,0,No,No,malay,male,thin,32,no,nokids,big,BW,casual,BW,short sleeve,BW,long,no,clothes,6,8,Night,30-39,Wednesday,25,None
90,10/21/2015 21:13,32.93,0,No,No,chinese,male,moderate,34,no,nokids,big,Primary,casual,Primary,short sleeve,Primary,short,yes,clothes,5,9,Night,30-39,Wednesday,25,None
91,10/21/2015 21:13,32.93,0,No,No,indian,male,thin,35,no,nokids,big,BW,formal,BW,long sleeve,BW,long,no,clothes,3,7,Night,30-39,Wednesday,25,None
92,10/22/2015 7:31,32.93,0,No,No,malay,female,moderate,49,no,nokids,big,Primary,traditional,BW,long sleeve,BW,long,no,clothes,4,8,Dawn,50-59,Thursday,20,None
93,10/22/2015 9:19,32.93,0,No,No,malay,female,fat,33,no,nokids,big,Primary,traditional,Primary,long sleeve,BW,long,no,clothes,5,7,Morning,30-39,Thursday,20,None
94,10/22/2015 9:19,32.93,0,No,No,malay,female,moderate,55,no,nokids,big,Primary,formal,Others,long sleeve,BW,long,no,clothes,4,8,Morning,50-59,Thursday,20,None
95,10/22/2015 9:48,32.93,0,No,No,chinese,female,thin,42.18272841,no,nokids,big,Primary,casual,Others,short sleeve,BW,long,no,blankets,4,7,Morning,40-49,Thursday,20,None
96,10/22/2015 10:08,32.93,0,No,No,malay,male,moderate,55,no,nokids,big,Primary,casual,BW,short sleeve,Primary,long,yes,clothes,3,8,Morning,50-59,Thursday,20,None
97,10/22/2015 10:50,32.93,0,No,No,malay,female,thin,49,no,nokids,big,Primary,casual,Others,long sleeve,BW,long,no,clothes,5,9,Morning,50-59,Thursday,20,None
98,10/22/2015 10:50,32.93,0,No,No,malay,male,thin,46,no,nokids,big,Primary,casual,Primary,short sleeve,BW,long,yes,clothes,3,8,Morning,40-49,Thursday,20,None
99,10/22/2015 13:14,32.93,0,No,No,foreigner ,female,moderate,41,no,nokids,big,BW,casual,BW,short sleeve,BW,long,no,clothes,5,10,Afternoon,40-49,Thursday,20,None
100,10/22/2015 13:17,32.93,0,No,No,malay,female,fat,53,no,nokids,big,Primary,formal,Others,long sleeve,BW,long,no,clothes,3,7,Afternoon,50-59,Thursday,20,None
101,10/22/2015 13:17,32.93,0,No,No,malay,male,fat,41,no,nokids,big,Secondary,casual,Secondary,short sleeve,BW,long,no,clothes,3,10,Afternoon,40-49,Thursday,20,None
102,10/22/2015 14:38,32.93,0,No,No,malay,male,moderate,55,no,nokids,small,BW,casual,Others,short sleeve,Others,long,yes,clothes,4,8,Afternoon,50-59,Thursday,20,None
103,10/22/2015 15:10,32.93,0,No,No,malay,female,moderate,34,no,nokids,small,Primary,casual,Primary,long sleeve,Secondary,long,no,clothes,4,7,Afternoon,30-39,Thursday,20,None
104,10/22/2015 15:42,32.93,0,No,No,malay,female,fat,40,no,nokids,big,Primary,casual,Secondary,long sleeve,BW,long,no,clothes,6,10,Afternoon,40-49,Thursday,20,None
105,10/22/2015 18:42,32.93,0,No,No,indian,male,fat,44,no,nokids,big,Primary,casual,Primary,short sleeve,Others,short,no,clothes,5,7,Evening,40-49,Thursday,20,None
106,10/22/2015 19:48,32.93,0,No,No,chinese,male,thin,50,yes,baby,big,Primary,casual,BW,short sleeve,BW,long,no,clothes,3,10,Evening,50-59,Thursday,20,None
107,10/22/2015 20:23,32.93,0,No,No,foreigner ,male,moderate,54,no,nokids,big,Primary,casual,BW,short sleeve,BW,long,no,clothes,3,7,Night,50-59,Thursday,20,None
108,10/22/2015 20:49,32.93,0,No,No,chinese,male,thin,44,no,nokids,big,Primary,casual,BW,short sleeve,Primary,long,no,clothes,5,8,Night,40-49,Thursday,20,None
109,10/22/2015 22:10,32.93,0,No,No,indian,male,moderate,32,no,nokids,big,BW,casual,Secondary,short sleeve,Others,short,no,clothes,3,9,Night,30-39,Thursday,20,None
110,10/22/2015 22:52,32.93,0,No,No,chinese,female,thin,32,no,nokids,big,Primary,casual,BW,short sleeve,Others,short,no,clothes,3,9,Night,30-39,Thursday,20,None
111,10/22/2015 23:18,32.93,0,No,No,indian,male,fat,47,no,nokids,big,Primary,casual,Primary,short sleeve,BW,short,no,clothes,6,7,Night,40-49,Thursday,20,None
112,10/23/2015 1:09,32.93,0,No,No,chinese,female,fat,30,yes,toddler,big,Primary,casual,Primary,short sleeve,Secondary,short,no,clothes,6,10,Midnight,30-39,Friday,34,None
113,10/23/2015 1:31,32.93,0,No,No,chinese,male,fat,31,no,nokids,big,Primary,casual,Others,short sleeve,BW,long,yes,clothes,3,8,Midnight,30-39,Friday,34,None
114,10/23/2015 1:52,32.93,0,No,No,indian,female,fat,39,no,nokids,big,BW,casual,Others,short sleeve,BW,long,no,clothes,3,10,Midnight,40-49,Friday,34,None
115,10/23/2015 2:48,32.93,0,No,No,malay,male,fat,40,no,nokids,big,Primary,casual,Primary,short sleeve,Others,long,no,clothes,5,7,Midnight,40-49,Friday,34,None
116,10/23/2015 4:35,32.93,0,No,No,indian,male,moderate,42.18272841,no,nokids,big,Primary,formal,BW,short sleeve,BW,long,no,clothes,5,8,Dawn,40-49,Friday,34,None
117,10/23/2015 7:07,32.93,0,No,No,malay,female,fat,52,yes,baby,big,Primary,casual,BW,short sleeve,BW,long,yes,clothes,5,7,Dawn,50-59,Friday,34,None
118,10/23/2015 7:31,32.93,0,No,No,malay,male,fat,33,no,nokids,big,Primary,casual,Primary,long sleeve,Others,short,no,clothes,3,7,Dawn,30-39,Friday,34,None
119,10/23/2015 10:27,32.93,0,No,No,chinese,male,thin,47,no,nokids,big,Primary,formal,BW,short sleeve,BW,long,yes,clothes,5,9,Morning,40-49,Friday,34,None
120,10/23/2015 11:14,32.93,0,No,No,malay,male,fat,53,yes,baby,big,Primary,casual,Primary,short sleeve,Others,long,no,clothes,3,9,Morning,50-59,Friday,34,None
121,10/23/2015 11:17,32.93,0,No,No,malay,female,moderate,53,yes,toddler,big,BW,formal,Others,long sleeve,BW,long,no,clothes,4,7,Morning,50-59,Friday,34,None
122,10/23/2015 11:54,32.93,0,No,No,indian,male,moderate,40,no,nokids,small,Secondary,formal,BW,short sleeve,BW,long,no,clothes,3,9,Morning,40-49,Friday,34,None
123,10/23/2015 11:59,32.93,0,No,No,malay,male,moderate,40,no,nokids,big,BW,formal,BW,short sleeve,Others,long,no,clothes,4,10,Morning,40-49,Friday,34,None
124,10/23/2015 12:00,32.93,0,No,No,malay,female,fat,52,no,nokids,big,Primary,casual,BW,long sleeve,BW,long,no,clothes,6,10,Afternoon,50-59,Friday,34,None
125,10/23/2015 12:00,32.93,0,No,No,indian,male,fat,44,no,nokids,big,BW,casual,BW,short sleeve,Others,long,no,clothes,4,10,Afternoon,40-49,Friday,34,None
126,10/23/2015 12:00,32.93,0,No,No,malay,male,fat,28,no,nokids,big,BW,casual,BW,short sleeve,BW,long,no,clothes,3,8,Afternoon,20-29,Friday,34,None
127,10/23/2015 12:01,32.93,0,No,No,indian,male,thin,44,no,nokids,big,Primary,casual,BW,short sleeve,Primary,short,yes,clothes,4,8,Afternoon,40-49,Friday,34,None
128,10/23/2015 12:23,32.93,0,No,No,malay,female,thin,52,no,nokids,big,Primary,casual,Primary,short sleeve,Primary,short,no,clothes,5,8,Afternoon,50-59,Friday,34,None
129,10/23/2015 12:57,32.93,0,No,No,malay,female,fat,39,no,nokids,big,BW,casual,BW,short sleeve,BW,long,no,clothes,6,8,Afternoon,40-49,Friday,34,None
130,10/23/2015 15:17,32.93,0,No,No,malay,female,thin,31,no,nokids,big,Primary,casual,Primary,short sleeve,Primary,long,no,clothes,3,7,Afternoon,30-39,Friday,34,None
131,10/23/2015 16:06,32.93,0,No,No,foreigner ,male,thin,31,no,nokids,big,BW,formal,Others,short sleeve,Others,long,no,clothes,6,9,Evening,30-39,Friday,34,None
132,10/23/2015 16:06,32.93,0,No,No,indian,female,fat,40,no,nokids,big,Others,casual,Others,long sleeve,BW,long,no,clothes,4,9,Evening,40-49,Friday,34,None
133,10/23/2015 16:11,32.93,0,No,No,malay,female,thin,28,yes,baby,big,Primary,casual,Primary,short sleeve,BW,long,no,blankets,4,9,Evening,20-29,Friday,34,None
134,10/23/2015 16:33,32.93,0,No,No,malay,female,moderate,41,no,nokids,big,Primary,traditional,Primary,long sleeve,Primary,long,yes,clothes,4,7,Evening,40-49,Friday,34,None
135,10/23/2015 17:31,32.93,0,No,No,malay,female,moderate,41,yes,toddler,big,Primary,casual,Primary,short sleeve,Primary,long,no,clothes,6,10,Evening,40-49,Friday,34,None
136,10/23/2015 17:31,32.93,0,No,No,malay,female,fat,49,no,nokids,big,Primary,casual,Others,short sleeve,BW,long,no,clothes,5,9,Evening,50-59,Friday,34,None
137,10/23/2015 19:47,32.93,0,No,No,chinese,female,thin,30,no,nokids,small,BW,casual,Secondary,short sleeve,BW,long,no,clothes,6,7,Evening,30-39,Friday,34,None
138,10/23/2015 19:55,32.93,0,No,No,chinese,male,moderate,48,no,nokids,big,Primary,casual,BW,short sleeve,BW,long,no,clothes,3,9,Evening,40-49,Friday,34,None
139,10/23/2015 20:08,32.93,0,No,No,chinese,female,moderate,34,no,nokids,big,Primary,casual,BW,short sleeve,Primary,long,no,clothes,5,7,Night,30-39,Friday,34,None
140,10/23/2015 20:39,32.93,0,No,No,foreigner ,male,thin,45,no,nokids,big,Primary,casual,Primary,short sleeve,Others,long,no,clothes,6,9,Night,40-49,Friday,34,None
141,10/23/2015 21:18,32.93,0,No,No,foreigner ,female,thin,39,no,young,big,Primary,casual,BW,short sleeve,BW,long,no,clothes,3,9,Night,40-49,Friday,34,None
142,10/23/2015 21:51,32.93,0,No,No,malay,female,moderate,48,yes,toddler,big,Primary,casual,Primary,long sleeve,BW,long,no,clothes,4,7,Night,40-49,Friday,34,None
143,10/23/2015 22:31,32.93,0,No,No,indian,female,fat,40,yes,young,big,Primary,casual,Secondary,short sleeve,BW,long,no,clothes,4,10,Night,40-49,Friday,34,None
144,10/23/2015 22:58,32.93,0,No,No,chinese,female,thin,42,no,nokids,big,Primary,casual,Primary,short sleeve,Others,long,yes,clothes,5,9,Night,40-49,Friday,34,None
145,10/23/2015 23:38,32.93,0,No,No,malay,male,fat,42.18272841,no,nokids,big,Primary,casual,Primary,short sleeve,BW,long,no,clothes,3,7,Night,40-49,Friday,34,None
146,10/24/2015 0:18,30.8,0,No,No,chinese,male,fat,36,no,nokids,big,Primary,casual,Primary,short sleeve,Secondary,short,yes,clothes,3,9,Midnight,30-39,Saturday,55,None
147,10/24/2015 0:38,30.8,0,No,No,malay,female,thin,28,yes,baby,big,Primary,casual,Primary,short sleeve,Others,long,no,clothes,3,9,Midnight,20-29,Saturday,55,None
148,10/24/2015 1:31,30.8,0,No,No,malay,male,fat,53,no,nokids,big,Primary,casual,BW,short sleeve,BW,long,yes,clothes,3,7,Midnight,50-59,Saturday,55,None
